Label,Sentence,Array
hatespeech,buddhists shit on kike filth religions so do most of the world we will kill kikes christfags hajjis as easy as stepping on ants,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,breaking news kike sheriff pursued into mountains by nra forces lamborgini with broward county police insignia found in forest culvert,"false,incorrect,wrong,challenge,persuade,change minds"
offensive,when my son started giving my shit about all my racist puns i told him to pakis bags,"punched,raped,starved,torturing,mugging"
normal,that foolish fifth hokage or whoever,"false,incorrect,wrong,challenge,persuade,change minds"
offensive,alot yall hoes too burnt out,"punched,raped,starved,torturing,mugging"
normal,and will do it again like nigga backwards,"punched,raped,starved,torturing,mugging"
normal,muslim countries r so safe that all refugees prefer not to go to any muslim country,"threatened,stole,outrageous act,poor treatment,alienate"
normal,<user> i have worshipped her since i have memory bc it is my job as a queer,"rat,monkey,nazi,demon,cancer,monster"
normal,<user> <user> <user> <user> i do not want to have to be the queer gatekeeper but as the official cerberus of the gates to gay i am putting my extremely fabulous paw down,"threatened,stole,outrageous act,poor treatment,alienate"
normal,<number> spartans killed over <number> sandnigs anders breivik required <number> shots to kill <number> traitors bernie bro at gop ball field fired <number> rounds <number> kills copenhagen moslem attack had <number> rounds fired with only one dead that was not the cartoonist target chose your river blood or sewage,"rat,monkey,nazi,demon,cancer,monster"
normal,<user> paedophiles are allowed to walk the streets because we would not want to stress them out but a man who protests in the streets over a victim of paedophiles who was gang raped and left in a bloody mess gets <number> months in jail,"threatened,stole,outrageous act,poor treatment,alienate"
hatespeech,this is a coverup the real shooter is sam hyde who was reported as saying these son of a bitch coons that kneel have to go,"threatened,stole,outrageous act,poor treatment,alienate"
normal,sad how we teach girls how to not get raped do not walk at night carry pepper spray do not trust strangers instead of teaching boys how not to rape respect women and understand concent gender forum,"punched,raped,starved,torturing,mugging"
normal,<user> <user> imagine going to a country as a refugee then telling them they are wrong and protesting their history government and politics how pathetic of him,"false,incorrect,wrong,challenge,persuade,change minds"
normal,<user> <user> a no they will not from you means nothing here just last week a crazed white woman at a cvs ranted like savage while expressing her desire to kill all of us people like that will be emboldened people like you do not care,"threatened,stole,outrageous act,poor treatment,alienate"
normal,please i want to get raped,"punched,raped,starved,torturing,mugging"
offensive,glad that white bitch got what she deserved killing that innocent black boy for no reason,"killed,annhilate,destroy"
offensive,you do lame shit you a lame bitch,"threatened,stole,outrageous act,poor treatment,alienate"
normal,to this day a nigga still talking bout they wish they did right by me,"false,incorrect,wrong,challenge,persuade,change minds"
offensive,bitches steam some veggies and swear theyre martha stewart,"rat,monkey,nazi,demon,cancer,monster"
normal,niggas will rep any gang niggas will bust any head niggas will risk everything point him out and then he dead,"rat,monkey,nazi,demon,cancer,monster"
normal,do you see that nice black and orange fish with a nice grin over there,"rat,monkey,nazi,demon,cancer,monster"
normal,females say niggas ain shit and go try fw another female when whole time they not shit neither 😂 now you mad at fingers,"false,incorrect,wrong,challenge,persuade,change minds"
normal,<user> daniel did you dress up as arabs and bomb king david hotel you can distract me with corbyn afterwards it understandable that you want corbyn <user> to support terrorist israel that has created <number> <number> palestinian refugees bombed syrians,"killed,annhilate,destroy"
normal,<user> <user> and whenthat does not work when women are being raped just do nothing and say well we will work on prevention instead of trying to get justice and taking a perp off the street,"threatened,stole,outrageous act,poor treatment,alienate"
normal,the older i get the more i am like that so f d up all them niggas stood at the door and listened to ebony get beat and raped then left sadly society is still like that the players club,"punched,raped,starved,torturing,mugging"
hatespeech,thanks for the offer but eating shit it your nigger delicacy,"punched,raped,starved,torturing,mugging"
hatespeech,terry a davis is insane but somewhere somebody killed a cia nigger with his car on <date>,"killed,annhilate,destroy"
normal,lock this nigga up and quickly,"threatened,stole,outrageous act,poor treatment,alienate"
normal,you know why cause karma is a bitch,"rat,monkey,nazi,demon,cancer,monster"
normal,hilary is turning the pigs gay and the moon landing was faked,"rat,monkey,nazi,demon,cancer,monster"
normal,the president of the united states is a repulsive racist nazi cheer leading lying sack of drek just saying,"rat,monkey,nazi,demon,cancer,monster"
offensive,a bunch of hoes on they knees,"punched,raped,starved,torturing,mugging"
normal,in <number> kenyans only wore skins covering their private parts young people walked naked but there were no cases of sexual harassment what happening to africa gender forum,"punched,raped,starved,torturing,mugging"
normal,today is the jewish new year if the democrats were in the white house it would be the end of days for the jews,"killed,annhilate,destroy"
normal,<user> should not this headline be the black girl that blamed white christian boys was a hoax seems that is how it was framed yesterday all over the media,"false,incorrect,wrong,challenge,persuade,change minds"
normal,i fucking hate white socks they literally make me feel like a whole other person when i am wearing them,"false,incorrect,wrong,challenge,persuade,change minds"
normal,<user> i swear texas is full of white men with guns,"killed,annhilate,destroy"
normal,<user> please reply whether india belongs to illegal muslim immigrants from bangladesh and pakistan also please also explain your support to special status of j k in the light of rejection of two nation theory,"killed,annhilate,destroy"
normal,the people who are trending go back amit shah are the same people who are using the rohinga anf uhighar muslims as vote banks great decision by <user> to tackle illegal muslim immigrant from bangladesh bjp bjp 4 sonar bangla,"punched,raped,starved,torturing,mugging"
normal,<user> my money on a muslim immigrant could be wrong but doubtful,"false,incorrect,wrong,challenge,persuade,change minds"
normal,<user> <user> genuine question do you hate white people as much as it seems you do on twitter,"killed,annhilate,destroy"
hatespeech,sounds like something that needs a team of shark kike lawyers to sniff out,"rat,monkey,nazi,demon,cancer,monster"
normal,youngster replied with mild surprise really oh kid pretty much all the schools were all white to start with and uga was one of the longer holdouts for an institution its size,"killed,annhilate,destroy"
normal,me and <user> were talking about it cosplayers and she was like if this richie cosplayer took off their glasses they would look like mike but theyre white stranger things,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,wow do not all speak at once niggers,"threatened,stole,outrageous act,poor treatment,alienate"
normal,wait i am gonna be in paris at the end of october please tell me there starbucks in paris and i can have psl like the white bitch that i am,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,first i am hearing of it i will check it out later tonight hungry for a nigger leg although i am not sure if halal certified,"punched,raped,starved,torturing,mugging"
normal,you gotta be bold as shit to be on social media when you have not texted me back bitch i hate you 💀,"threatened,stole,outrageous act,poor treatment,alienate"
offensive,oh they found the white bitch guilty surprise surprise,"killed,annhilate,destroy"
offensive,did this girl on unbelievable get raped or not like damn bitchh make up your mind,"false,incorrect,wrong,challenge,persuade,change minds"
offensive,how much you wanna bet these hoes who have historically been vocally adamant about being race last immediately use slavery as a defense against remy ma saying if you want money for being raped you are a prostitute,"punched,raped,starved,torturing,mugging"
normal,<user> i heard my birth mother was raped by joe and here i am proof bring on the free dna kit oh n the back child support baby needs a new pair of shoes,"killed,annhilate,destroy"
offensive,<user> it is if you are a fucking retard,"rat,monkey,nazi,demon,cancer,monster"
normal,<user> i am obvi a war queer til i get kidnapped by pirates during civil war <number> and become the ship queer at some point the pirates realize my pedigree and decide to make me their priestess at which point i transition to religious homosexual,"rat,monkey,nazi,demon,cancer,monster"
normal,most queer whites know the pain of social marginalization yet they marginalize queer people of color when it comes to dating,"threatened,stole,outrageous act,poor treatment,alienate"
normal,<user> whoa man that pretty homosexual of you you are gonna have to say no homo,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,someone should find her at home sometime and beat her with a pipe along with their wetback mayor,"killed,annhilate,destroy"
hatespeech,niggerdom is a deadly disease please send thoughts and prayers,"threatened,stole,outrageous act,poor treatment,alienate"
normal,lmao that lil muslim rep was cheating on her hubby the whole time with multiple people involved in her political journey 😂,"punched,raped,starved,torturing,mugging"
normal,mexican women talk good in bed how do mexicans talk,"punched,raped,starved,torturing,mugging"
hatespeech,did i say soley you disingenuous kike rat i said <percent> and it would be better without your <percent> plus the other former <percent> thanks kikes for crankung rhat up to <percent>,"false,incorrect,wrong,challenge,persuade,change minds"
normal,use what talents you possess the woods would be very silent if no birds sang there except those that sang best henry van dyke qotd talent big picture,"false,incorrect,wrong,challenge,persuade,change minds"
normal,free that nigga meech cause he the hood hero,"killed,annhilate,destroy"
hatespeech,what is the favorite music key of niggers the key of c,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,let us not forget the kk was and is an honorable crowd they formed to protect white women from the nigger predation and whites in general from nigger crimes niggers have iq of <number> and high testosterone they have to be dealt with have to,"threatened,stole,outrageous act,poor treatment,alienate"
normal,<user> omg i am sorry 😭 😭 😭 max just reminds me of those bad white boys i am sorry,"rat,monkey,nazi,demon,cancer,monster"
normal,im here im queer and im full of fear for my future career a poem by a stressed gay a k a me,"threatened,stole,outrageous act,poor treatment,alienate"
offensive,yall saying niggas disrespectful have you seen how these dykes out here talking to bitches 😂,"punched,raped,starved,torturing,mugging"
normal,<user> your parents not arrest for what happened to you is how to rape the church room <number> jesus goes to jail to them given a bible maybe proverbs <time> confidence in an unfaithful man in time of trouble nkjv ever find out what stops another joyce raped yrs 🙃,"threatened,stole,outrageous act,poor treatment,alienate"
normal,<user> just in time for columbus day judge rules that white people can enter any property claim it is theirs and kill the inhabitants,"killed,annhilate,destroy"
normal,<user> heard this to juicy smooliet had this happen to him by <number> guys in white face 👻 👻 🤣,"killed,annhilate,destroy"
normal,<user> and you reference an ancient white mans fairytale so stupid even children see thru it with the questions they ask until every slave pimping adult in the room says no jimmy you are a mormon moslem or methodist forever inherited iron age idiocy you are an ignorant pawn ouch,"false,incorrect,wrong,challenge,persuade,change minds"
normal,this is a fucking wild night this is why i hate having adrenaline rushes haldhladslas,"punched,raped,starved,torturing,mugging"
normal,you all i am so ghetto it not even funny how i talk to and around these white people and they think it so cool 😭,"false,incorrect,wrong,challenge,persuade,change minds"
hatespeech,maybe a blood nigger will put a bullet in his head,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,i am so tired of these kike terrorists and their evil lackeys,"killed,annhilate,destroy"
hatespeech,fuck that nigger bitch,"killed,annhilate,destroy"
hatespeech,you r encouraging miscegenation that is an aspect of white genocide so if you are white you are a mudshark skank traitor if you are any other race then you are cheering for white genocide all the facts i stated about black crime your poor writing skills r true no assumptions here,"false,incorrect,wrong,challenge,persuade,change minds"
hatespeech,the attention whore will kill canadians just to gain a seat on the moslem run un,"killed,annhilate,destroy"
normal,forgot to add all to the tune of ymca it down to the local mosque for a meal with the moslem masters cos it all about diversity multicul love not catching criminals cos that would make them a police force and a going home gift is the new police manual how sweet,"punched,raped,starved,torturing,mugging"
hatespeech,pope john paul brought down the soviet evil empire catholics resisted the proto marxist protestants in england and the communists in france catholicism defended and ultimately freed spain it united and defended all of europe against muslim nigger hordes,"punched,raped,starved,torturing,mugging"
hatespeech,great diversify london police force with low iq mildly retarded moslem shit skins put the crazies in charge of law enforcement brilliant just fucking brilliant,"false,incorrect,wrong,challenge,persuade,change minds"
hatespeech,this sappy little white nigger is about as creepy as they come,"punched,raped,starved,torturing,mugging"
normal,me fuck capitalism disney can choke why can not they stop capitalising off nostalgia and invest in small creators with fresh ideas and talent instead disney we might be developing a percy jackson show me i am always a slut for monopolies,"false,incorrect,wrong,challenge,persuade,change minds"
hatespeech,<user> ‍ <number> and now your heart breaks for this fucking nigger when these same niggers are destroying your country fuck you you phony cocksucker,"killed,annhilate,destroy"
hatespeech,this is an issue i have been negligent in paying attention to lately read my fellow kike killers send that boy a care package a book or if your female i am sure he d like to see a pic of a pretty white woman,"killed,annhilate,destroy"
hatespeech,skinny nigger in africa vs fat nigger in chicago that the best i can do which equates to spoiled nigger in america i guess,"punched,raped,starved,torturing,mugging"
hatespeech,i do not think i am prettier i know it and you know it too and it drives you nuts so you post about me being an animal killing me you want the beautiful white women gone you are just the darker side of shitskin beautiful white people something you will never be,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,allah loves rape theft tossing from buildings stoning dismemberment and building a mosque on top of the site of where someone else structure once stood he does not like swaddled dykes very much he can barely stand females,"killed,annhilate,destroy"
hatespeech,whenever im at the store an i see a white woman with a mullatto freak wirey haired caramel color mutant niglet baby i always say o thats a cute baby and smile and they always say thanks then i say are u babysitting and they look confused and then they get sad 😎 😎 😎,"false,incorrect,wrong,challenge,persuade,change minds"
hatespeech,europe is being stolen blind by the muzrat hordes,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,who was known to british authorities prior to the attack that sounds so much better than we did nothing to prevent it i am sure grieving parents siblings friends feel much better knowing this raghead was known to the authorities,"killed,annhilate,destroy"
hatespeech,fuck the little nigger the coon is right blacks and humans can not be friends,"rat,monkey,nazi,demon,cancer,monster"
normal,<user> they will pull laws out they ass to let them white cops get away with murder,"killed,annhilate,destroy"
normal,<user> <user> <user> <user> even when the place was overrun by jihadis like osama u can guarantee women safety we should start worshipping great ppl like u 🤣 🤣 🙏 🙏 🙏 <user> <user>,"threatened,stole,outrageous act,poor treatment,alienate"
normal,<user> exactly it really feels like even if i was queer enough by their standards i d be disqualified because of my sexuality like seriously ugh do not get me started,"threatened,stole,outrageous act,poor treatment,alienate"
hatespeech,a gook rug muncher aussie mp breaks down when faggotry is given the green light like i always say welcome to babylon goyim,"punched,raped,starved,torturing,mugging"
normal,i am a straight white christian male and i am oppressed,"threatened,stole,outrageous act,poor treatment,alienate"
normal,<user> shes a bum n a world renown racist shes on par with farankhan n rev jeremiah wright michelle had non stop criticism for cops white christian repubs jews israel our military i support israel <percent> they r our allies in the middle east m obama soiled white house w her rhetoric,"punched,raped,starved,torturing,mugging"
hatespeech,you first kike commie,"false,incorrect,wrong,challenge,persuade,change minds"
normal,<user> <user> <user> god bless you lady god loves you hope someday you make a positive act on someone who needs it like the illegal aliens,"threatened,stole,outrageous act,poor treatment,alienate"
normal,ashley calling michaels <number> years old white ass a stallion almost made me puke,"killed,annhilate,destroy"
normal,<user> bro it badass as fuck you get to give drinks take depending on what happens hole in one is everybody on course drink it honestly the most badass redneck game i have ever played,"rat,monkey,nazi,demon,cancer,monster"
normal,<user> obviously you have not made it into the 2 1 st century where a sexual advance is harassment and an exercise in white male privilage,"threatened,stole,outrageous act,poor treatment,alienate"
normal,if infants and toddlers can still get raped i do not think any women are asking for it based off what they are wearing asking for it getting their photos jerked off to rape molested etc u get it,"punched,raped,starved,torturing,mugging"
hatespeech,current year game of clue <number> obama champion of change winner killed gay wetback couple or gay married hispanics at fl college with a <number> day old bridge memewar <user> ‍ would you make a current year game of clue shirt,"false,incorrect,wrong,challenge,persuade,change minds"
hatespeech,of course you do know why camels are called the ships of the desert because they are full of muzzie semen,"rat,monkey,nazi,demon,cancer,monster"
normal,you can not go anywhere to avoid cars anymore niggas literally every fuckin where,"threatened,stole,outrageous act,poor treatment,alienate"
normal,starting to lose more and more faith in black men each day 😐 🥴,"false,incorrect,wrong,challenge,persuade,change minds"
normal,gonna pull a gay and complain about not having a boyfriend,"punched,raped,starved,torturing,mugging"
normal,abaya is pride of muslim women restore abaya notification,"false,incorrect,wrong,challenge,persuade,change minds"
offensive,i can not love a bitch trust no thot never bring a pig to yo spot dolce gabanna on my flip flops,"killed,annhilate,destroy"
normal,<user> trump ain t important enough for people to risk there lives there ain t enough now nazis white supremacists kk alt right to take on the <percent> of the nation and he knows it,"threatened,stole,outrageous act,poor treatment,alienate"
offensive,idk what it is but everytime i text people the laugh like they retarded 😂 😂,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,yeah but without the gay gook behind the wheel,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,muh national guard career they said i was like a nazi bc i was quiet so i told a story about how i got a spic at work to call the illegal spics spic they then said i was fucked up lol,"punched,raped,starved,torturing,mugging"
hatespeech,and the creep is dead one less mudslime is a good thing,"punched,raped,starved,torturing,mugging"
hatespeech,you should never take anything from a beaner butthole i will grant that,"threatened,stole,outrageous act,poor treatment,alienate"
hatespeech,they could not find <number> actresses to make this turkey and why are there no negresses in this what about that gorilless that got milo banned from twitter wasn t she available,"killed,annhilate,destroy"
hatespeech,i was talkin to deepak he a curry nignog streetpooper i do not even remember where the conversation with it started lol,"killed,annhilate,destroy"
normal,yes i live in texas and no i am not a damn redneck,"punched,raped,starved,torturing,mugging"
hatespeech,they all took a a filthy kike raping selling their sexual and moral soul for money and fame you do not get to take it with you filthy shiksas when you die,"rat,monkey,nazi,demon,cancer,monster"
normal,<user> <user> oh so when its white men suddenly they all look great 😡,"killed,annhilate,destroy"
offensive,dreading working with that white bitch tonight 🙄 gotta get higher than normal,"rat,monkey,nazi,demon,cancer,monster"
normal,<user> <user> i am that one black person who is not easily by the word n***a <censored> offended no it not because i grew up around white people my parents raised me in the ghetto but they also raised me not to be sensitive little b*tch <censored> about everything,"killed,annhilate,destroy"
normal,<user> i see she will get inside the elevator with mokou pressing one of the buttons to go to cafe hopefully i figured since i am more of an refugee here than anything i would not get such,"threatened,stole,outrageous act,poor treatment,alienate"
hatespeech,eu will not stop it western govs will not stop it there is but one course for europe now revolution war nothing else will stop mass invasion of moslem barbarians moslems are the problem,"threatened,stole,outrageous act,poor treatment,alienate"
normal,<user> when white ppl are speaking for us and ignoring the fact that racism is something which exist in every country in my country white ppl were attacked and raped black ppl were slaves for us etc tweeting such bs will not end racism it only helps racism,"punched,raped,starved,torturing,mugging"
normal,she was a holocaust survivor died on rosh hashanah,"killed,annhilate,destroy"
hatespeech,bs moralfaggotry salinger fyi was a kike pedo,"punched,raped,starved,torturing,mugging"
hatespeech,you say you like roosh while he shits on the alt right and boasts about banging our women in the same breath you sing the praises of a female nigger thot race war choose a side,"punched,raped,starved,torturing,mugging"
normal,<user> he exactly the type to say ah ha ha do not kill yourself you are so sexy haha,"killed,annhilate,destroy"
normal,<user> <user> doc will be somalian and dopey and grumpy will be two white boomers happy will be a flagrant homosexual,"killed,annhilate,destroy"
hatespeech,what you support obvious fed niggershill kike wignat pipebombers good,"killed,annhilate,destroy"
normal,<user> <user> if you think white people are immune from police violence there you go the only other explanation is that you live in an extremely racist area,"threatened,stole,outrageous act,poor treatment,alienate"
hatespeech,really am epic success presided over intended destruction of usa got elected and re elected with zero resume id theft false documentation acted unconstitutionally avoided impeachment a very successful scrawny evil nigger faggot,"punched,raped,starved,torturing,mugging"
normal,<user> false headline hillary clinton sexual assault allegations are less important than democrats winning in <number> she never said that <user> begins w a false premise clinton found it politically useful to hype up the myth that women everywhere were being raped and abused,"punched,raped,starved,torturing,mugging"
normal,kinda awkward when white people say something racist against asians i have to tell them i am half korean,"false,incorrect,wrong,challenge,persuade,change minds"
hatespeech,<user> you fucking nigger,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,get your fucking dirty nigger ass out of here nigger,"punched,raped,starved,torturing,mugging"
normal,<user> trump bullying ukraine has as much subtlety as harvey weinstein friendly conversations with the women he raped,"punched,raped,starved,torturing,mugging"
normal,lmao i am reading about how capitalism is gonna kill all of us and also listening to the newsies soundtrack in conclusion we are canceling men and capitalism gotta find a new major now,"killed,annhilate,destroy"
normal,<user> <user> do not copy tweets from your jihadi brothers,"rat,monkey,nazi,demon,cancer,monster"
normal,<user> <user> <user> many were hidden for over <number> years like the rochdale girls over <number> children raped by muslim paedophiles in one town alone whilst muslim women stayed quiet,"rat,monkey,nazi,demon,cancer,monster"
normal,<user> please explain what does this have to do with pakistan though was a jihadi attack foiled,"killed,annhilate,destroy"
normal,<user> hahahahaha i fucking hate you 😂 😂 😂 😂 😂 💀 💀 💀,"killed,annhilate,destroy"
normal,<user> <user> sweden is such a crazy country perfect example of what type of people socialist education produces what about the <number> year old swedish woman who was gang raped and murdered because she wanted to share her love with immigrants,"killed,annhilate,destroy"
normal,there was absolutely no reason to bring gay people into it because this does not have any affect on us whatsoever you are just a bunch of homophobes who only see the queer community as an argument about shit you do not like fuck off stop pretending to be an ally,"threatened,stole,outrageous act,poor treatment,alienate"
hatespeech,roast this lying kike,"false,incorrect,wrong,challenge,persuade,change minds"
hatespeech,you do not have to win over nigger and mexican and other third world voters when you have the military and law enforcement and the media the media actually being the easiest to get because you just fucking take it once you have the military just as you take the government,"false,incorrect,wrong,challenge,persuade,change minds"
hatespeech,you are not even white ya fucking kike suck that fuentes spic dick more fake ass kike moonman,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,once again kike feds like yourself do nothing but demoralize and divide people you are a fucking kike fed,"threatened,stole,outrageous act,poor treatment,alienate"
hatespeech,bathhouse barry sucks dicks he a faggot muzzie,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,okay and i hope the same happens to you kike faggot,"rat,monkey,nazi,demon,cancer,monster"
normal,for the spice rainbow wendigo grind blue berries lightning nuts liverwarts nuts copper roots white seeds,"rat,monkey,nazi,demon,cancer,monster"
normal,breaking egypt 🇪 🇬 send home amr warda after blackmailing women nudes,"threatened,stole,outrageous act,poor treatment,alienate"
normal,does women football have their own puskas category because those goals that got nominated get scored every matchday 😐,"punched,raped,starved,torturing,mugging"
normal,bri and weed go together like white girls and wine,"killed,annhilate,destroy"
normal,credits to andrew rose kcon rookies la clip and vantablack <number> <number> <number> and <number> fancams on youtube,"rat,monkey,nazi,demon,cancer,monster"
offensive,made that hoe in <number> hits,"killed,annhilate,destroy"
hatespeech,ugh i hate dykes 😐,"killed,annhilate,destroy"
normal,<user> we were all dykes just confused dykes,"false,incorrect,wrong,challenge,persuade,change minds"
normal,<user> <number> is a fucking simulation shshsjsjsk i cant make this shit up,"rat,monkey,nazi,demon,cancer,monster"
normal,i have been at the rmv for almost an hour but i did just hear some aggressive white boy fail his permit test,"threatened,stole,outrageous act,poor treatment,alienate"
hatespeech,fairy tale the beaners are getting up there and the farm owners should be shot for treason,"threatened,stole,outrageous act,poor treatment,alienate"
normal,<user> <user> thank you white person for telling me that i should not get upset about people making excuses for why a black man was murdered bless your heart,"killed,annhilate,destroy"
normal,to hire donna brazille who was so biased that she cheated to favor hillary the dnc pick for candidate for president i certainly would not trust her being at fox we are not going to let them white boys win no bias here now move along 🙊 🙉 🙈 💩,"false,incorrect,wrong,challenge,persuade,change minds"
hatespeech,the golden sun kike shining like a new shekel in this big oven,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,amy here are substitutions you can use islam isalami muslim mooslime sharia shartia jihad gleehad qur an grranne muhammad fdr fucking donkey rapist muslim brotherhood mooslime rape club jihad sweater vest club islamic isalami sandwich,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,this is why we will need a trial period giving them a daily quota of loudly shouting kike nigger immigrant faggot sluts any former dem who fails their quota gets to vote for trump once as a confession of their guilt before their execution for violating anti trumpitism laws,"punched,raped,starved,torturing,mugging"
hatespeech,so when obama and his mudslime sidekick vallerie travel there it will be confirmed they are not americans <user>,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,some kike shit right here,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,eu will not last another <number> years i think it will be the italians that eventually bring down the kike show,"false,incorrect,wrong,challenge,persuade,change minds"
normal,my iq is that barack obama birth certificate is unattractive both inside and i will make mexico pay for women,"false,incorrect,wrong,challenge,persuade,change minds"
normal,lol nfl got that nigga the fuck out of here bum ass dirty ass nigga 😂 😂,"threatened,stole,outrageous act,poor treatment,alienate"
hatespeech,<number> beaners promising to beat a nigress,"rat,monkey,nazi,demon,cancer,monster"
normal,white people are so embarrassing — saying that culture is a fucking concept that can be copied eye lit rally cannot comprehend anyways stream lit by oneus if you have a job,"false,incorrect,wrong,challenge,persuade,change minds"
normal,lrt the loud white dude is a fucking fed right like no fucking question,"threatened,stole,outrageous act,poor treatment,alienate"
normal,<user> kill all those white screens already lol,"killed,annhilate,destroy"
normal,<user> marx teaches dumb kids that they are the smartest in the room and to kill all the older people that disagree also they were white so they must be walking while racist 😐 😐 😐 😐,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,i hate you faggots,"killed,annhilate,destroy"
normal,<user> <user> no fr like how tf do i block ppl on twitter cause this nigger always commenting on my shit and is aggravating,"punched,raped,starved,torturing,mugging"
normal,listen if n and chungha ever collabed the gays would die,"killed,annhilate,destroy"
normal,brown skin dark skin women so fine,"rat,monkey,nazi,demon,cancer,monster"
normal,carhart hats are the basic bitch winter accessory of <number>,"rat,monkey,nazi,demon,cancer,monster"
offensive,niggas be acting like bitches bitches be loving these niggas wassup with these bitches 🤕,"punched,raped,starved,torturing,mugging"
normal,<user> <user> fool we do not do this stuff on an everyday she was out of line for during that to them white kids just do not act like it a everyday thing with us,"threatened,stole,outrageous act,poor treatment,alienate"
hatespeech,he not white hes a kike,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,lawfare is the arena where the battles are being fought let us make sure we lose as massively as possible to please our kike overlords,"threatened,stole,outrageous act,poor treatment,alienate"
hatespeech,beaver terraforming vs nigger terraforming,"rat,monkey,nazi,demon,cancer,monster"
normal,<user> i know i cannot believe he can get away with this traitor selling nukes to his moslem brothers,"killed,annhilate,destroy"
hatespeech,have i said anything to bash the chinks lately 🤔 seems like a week since i really cussed out a chink or made a mean meme about chinks ive been so busy bashing those greasy illegal alien spics that those sneaky chinks somehow avoided my attention like little sneaky faggit ninjas 😡 🖕 🇯 🇵,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,well at least that kike is honest about his fear of armed goyim,"threatened,stole,outrageous act,poor treatment,alienate"
hatespeech,i got in a argument with that mudshark after her redice interview she is not a nationalist nor altright an egalitarian sjw is closer to her beliefs her comment about nationalism being superior to others is a lie,"punched,raped,starved,torturing,mugging"
normal,i dont hate you mskddjd im just want ur throne,"killed,annhilate,destroy"
normal,btw this is not meant to deflect from the oppression and violence that my trans comrades face but rather to highlight that all fucking women need to stick up for and listen to each other if someone says your feminism is transphobic racist ableist or classist listen,"threatened,stole,outrageous act,poor treatment,alienate"
normal,white chocolate covered strawberries edible arrangement me please,"rat,monkey,nazi,demon,cancer,monster"
normal,working after someone who slacks is a fucking pain been at one store for over 6 hrs do ya job nigga,"killed,annhilate,destroy"
normal,sand script muslim looking for someone that writes in sand script or a website thanks,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,oh the nigger who was shot made the white kid lynching video perfect,"threatened,stole,outrageous act,poor treatment,alienate"
normal,the h in space lesbian stands for ham,"punched,raped,starved,torturing,mugging"
normal,oh jooheon breathed near two women ok i do not have time,"killed,annhilate,destroy"
offensive,never trust a hoe it me i am the hoe i trusted myself 🤡,"false,incorrect,wrong,challenge,persuade,change minds"
normal,<time> real nigga holiday 💙,"rat,monkey,nazi,demon,cancer,monster"
normal,white car black tint think he was tryna hide her told her she should duck faster lauriana 🤣 🤣,"false,incorrect,wrong,challenge,persuade,change minds"
offensive,its always fat bitches saying they look like a snack no sweetheart you look like a ball of grease dont fucking me,"rat,monkey,nazi,demon,cancer,monster"
normal,is ur girlfriend acting funny you are suspecting there a nigger on the side talk to degea because de gea saves,"punched,raped,starved,torturing,mugging"
normal,love being a slut 😍 slut whore sex nudes horny wet cock fuck,"punched,raped,starved,torturing,mugging"
offensive,bitches be having their own place but no furniture,"false,incorrect,wrong,challenge,persuade,change minds"
normal,no matter how hard a nigga thinks he is they all look the same with my titties in their mouth lmao,"rat,monkey,nazi,demon,cancer,monster"
normal,lil nigga do not jump in that water cause this shit deep,"threatened,stole,outrageous act,poor treatment,alienate"
normal,so just pray for me,"rat,monkey,nazi,demon,cancer,monster"
normal,fuck school too if i blow up i am out this hoe tf,"killed,annhilate,destroy"
normal,is muhummad muslim or islam,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,deflect all you want kike spawn the whole world saw what happened and people opinions are shifting use all the mental gymnastics you like to justify things for your masters the rest of us have no such strings and can see things with a clear conscious,"false,incorrect,wrong,challenge,persuade,change minds"
hatespeech,david lammy needs to go be a nigger somewhere else,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,net neutrality was always a kike power move cernovich can eat a dick,"threatened,stole,outrageous act,poor treatment,alienate"
normal,drake lowkey ain t that nigga if he ain t simpin on a song,"rat,monkey,nazi,demon,cancer,monster"
normal,black women complain so much at restaurants 🤣,"punched,raped,starved,torturing,mugging"
normal,well i locked my keys in my car and im now chugging grape juice in the publix parking lot this is it this is how crackheads are born,"punched,raped,starved,torturing,mugging"
normal,that juice wrld nigga is terrible,"punched,raped,starved,torturing,mugging"
